Unnamed: 0,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
8994,MyBlush Women Top,women's clothing,Western Wear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71WewDr9t8L._AC_UL320_.jpg,https://www.amazon.in/MyBlush-Womens-Solid-Classic-MYB164_Black/dp/B09924874L/ref=sr_1_9003?qid=1679153769&s=apparel&sr=1-9003,3.5,9,₹699,"₹2,299"
6994,"Ridhi Home & Decor Brass Decorative Weighing Scale Set, 10 g (Golden and Brown)",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61j4CowaamL._AC_UL320_.jpg,https://www.amazon.in/Brass-Decorative-Weighing-Scale-10grm/dp/B07L36G3KC/ref=sr_1_7019?qid=1679135988&s=appliances&sr=1-7019,3.7,64,₹380,₹500
7494,Rangshaily Men's Black White Floral Print Fullsleeves Premium Cotton Regular Fit Shirt with Spread Collar,men's clothing,Shirts,https://m.media-amazon.com/images/I/51oiWRu+GpL._AC_UL320_.jpg,https://www.amazon.in/Rangshaily-Regular-Floral-Fullsleeves-Cotton/dp/B0BR7K4T6X/ref=sr_1_7499?qid=1679141101&s=apparel&sr=1-7499,,,₹649,₹999
5066,Adidas Men's Ellipto Run M Leather Shoe,men's shoes,Sports Shoes,https://m.media-amazon.com/images/I/71RsZ19e-wL._AC_UL320_.jpg,https://www.amazon.in/Adidas-Ellipto-Running-DOVGRY-FTWWHT/dp/B09SF1HKF8/ref=sr_1_5075?qid=1679147366&s=shoes&sr=1-5075,3.6,23,"₹1,274","₹2,499"
14687,JJ TEES Polyester Half Sleeve Jersey with Round Collar and Digital Print All Over for Men (Color: Navy Blue and Red),men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61fXr8brnCL._AC_UL320_.jpg,https://www.amazon.in/JJ-TEES-Polyester-Sleeve-Digital/dp/B08N6QPFTC/ref=sr_1_14744?qid=1679140547&s=apparel&sr=1-14744,3.5,10,₹345,₹999
1711,"AONES Pack of 3 Magnetic Loop Watch Strap Compatible for Titan Smart 2 Watch Strap Black, Gold, Rose Gold",kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/713ZfMnbmpL._AC_UL320_.jpg,https://www.amazon.in/AONES-Magnetic-Watch-Strap-Compatible/dp/B0BQVWWTJ5/ref=sr_1_10352?qid=1679221162&s=watches&sr=1-10352,,,₹999,"₹1,590"
11832,Avsar 14k (585) Yellow Gold Ring for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/I/71er7EuZ1wL._AC_UL320_.jpg,https://www.amazon.in/Avsar-Yellow-Gold-Ring-Women/dp/B07PR4TRXR/ref=sr_1_11841?qid=1679159665&s=jewelry&sr=1-11841,,,"₹16,312","₹39,524"
11527,Jockey Modern Trunks with Double Layer Contoured Pouch US70_Black_M,men's clothing,Innerwear,https://m.media-amazon.com/images/I/61uU-gYigyL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Mens-Printed-Brief-US70_Black_Medium/dp/B07FRFGVCR/ref=sr_1_11532?qid=1679142895&s=apparel&sr=1-11532,5.0,2,,₹429
5897,NILUS Cute and Shiny Stone Chain Bracelet for Women and Girls (Purple) (Purple),accessories,Fashion & Silver Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51PwMCj2OUL._AC_UL320_.jpg,https://www.amazon.in/NILUS-Fashion-Jewelry-Silver-Bracelet/dp/B07L1NVCH8/ref=sr_1_5906?qid=1679160140&s=jewelry&sr=1-5906,4.5,9,₹359,"₹1,250"
16065,Chappal Mens Leather Handmade Formal Shoes - Brown_{ch52},men's shoes,Formal Shoes,https://m.media-amazon.com/images/I/310bD9uRvxL._AC_UL320_.jpg,https://www.amazon.in/Chappal-Leather-Handmade-Formal-Shoes/dp/B09P88X2B9/ref=sr_1_16074?qid=1679148493&s=shoes&sr=1-16074,,,"₹1,899","₹1,999"
685,"Cleanz-up Universal Multi Stain Remover for Grease, Dirt, Mold, Mildew, Food, Oil, Drawing Color | Concentrated, Eco Frien...",beauty & health,Household Supplies,https://m.media-amazon.com/images/I/71CA+L346CS._AC_UL320_.jpg,https://www.amazon.in/Cleanz-up-Multipurpose-Remover-Adhesive-Contents/dp/B07DGDW3Q5/ref=sr_1_6038?qid=1679215770&s=hpc&sr=1-6038,3.4,35,₹445,₹750
19135,Paridhan Wholesele Regular Fit Scented Vest for Men's (Pack of 5),men's clothing,Innerwear,https://m.media-amazon.com/images/I/31spHg3OPSL._AC_UL320_.jpg,https://www.amazon.in/Paridhan-Wholesele-Regular-Scented-White/dp/B0BBGKPY4B/ref=sr_1_19192?qid=1679143166&s=apparel&sr=1-19192,,,"₹1,099","₹1,599"
1455,DOCTORSTEP Sandals for women & girls flats casual trendy party wear.,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/41acUGtM9kL._AC_UL320_.jpg,https://www.amazon.in/DOCTORSTEP-Sandals-casual-party-wear-numeric_5/dp/B0BTZ81YFL/ref=sr_1_13312?qid=1679211773&s=shoes&sr=1-13312,,,₹599,₹999
10672,PC Jeweller The Hector 22 KT Yellow Gold Ring for Her,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/I/61PkMJDLEfL._AC_UL320_.jpg,https://www.amazon.in/PC-Jeweller-Hector-Yellow-Gold/dp/B07W4JPZSZ/ref=sr_1_10681?qid=1679159623&s=jewelry&sr=1-10681,,,"₹20,653","₹24,464"
18597,GABICCI Spin White Driving Leather Casual Slip-On Shoes for Men |65102|,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/519exMgqK5L._AC_UL320_.jpg,https://www.amazon.in/GABICCI-Leather-Loafers-Casual-065102_43/dp/B0B6CHNV4S/ref=sr_1_18750?qid=1679149306&s=shoes&sr=1-18750,5.0,1,"₹2,225","₹4,450"
393,THE LITTLE LOOKERS Baby Button Bibs/Apron Cute Overall Print with Tich Button| Soft Cotton Fabric with PVC on Back/Quick A...,toys & baby products,Nursing & Feeding,https://m.media-amazon.com/images/I/815RBn94iCL._AC_UL320_.jpg,https://www.amazon.in/LITTLE-LOOKERS%C2%AE-Button-Animal-Different/dp/B083FNGC19/ref=sr_1_3442?qid=1679220302&s=baby&sr=1-3442,4.0,53,₹279,₹399
2537,"Funk For Hire Women Printed Faux Leather 15.6"" Laptop Handbag/Sling Bag Navy Blue And Brown",accessories,Bags & Luggage,https://m.media-amazon.com/images/I/81mwue+9jDL._AC_UL320_.jpg,https://www.amazon.in/Funk-Hire-Printed-Leather-Handbag/dp/B07DHJPN38/ref=sr_1_2546?qid=1679143971&s=luggage&sr=1-2546,4.4,193,"₹1,839","₹2,400"
7966,Spykar Men's Super Skinny Fit Jeans,men's clothing,Jeans,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81eltYn9S9L._AC_UL320_.jpg,https://www.amazon.in/Spykar-Skinny-Jeans-ECSS-01BB-017_Light-Blue_34/dp/B09VPWM9Z7/ref=sr_1_7975?qid=1679142007&s=apparel&sr=1-7975,3.0,1,"₹1,529","₹3,399"
711,Balwaan Tiller Attachment for Brush Cutter 28mm S Type Weeder/Weeding in Fruits and Vegetables//Suitable for All Type of S...,home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/I/41NzE7PdYqL._AC_UL320_.jpg,https://www.amazon.in/Balwaan-Attachment-Type-Vegetables-Suitable/dp/B09WJ3VN2R/ref=sr_1_6400?qid=1679213710&s=garden&sr=1-6400,3.3,11,"₹2,800","₹5,600"
17841,Aqualite Men's Trending Shoes,men's shoes,Sports Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61YZ4JMrDrL._AC_UL320_.jpg,https://www.amazon.in/Aqualite-Fashionable-Comfort-Cushion-Outdoor/dp/B09VT76DT2/ref=sr_1_17850?qid=1679147827&s=shoes&sr=1-17850,,,₹629,₹699
18739,Sun Fashion And Lifestyle Women's Cotton Blend Dupatta (Dupp Corona; White; 2.25 mts),women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61XtxCA3JvL._AC_UL320_.jpg,https://www.amazon.in/Sun-Fashion-Lifestyle-Womens-Dupatta/dp/B09HK3BQZQ/ref=sr_1_18796?qid=1679153420&s=apparel&sr=1-18796,4.5,2,₹300,"₹1,299"
14983,trunk 80 size,men's clothing,Innerwear,https://m.media-amazon.com/images/I/41Sach4LYlL._AC_UL320_.jpg,https://www.amazon.in/Generic-FG4-trunk-80-size/dp/B0BWDV9WTD/ref=sr_1_15036?qid=1679143021&s=apparel&sr=1-15036,,,,₹250
15526,"BETSU Breast Lift Tape & Nipple Pasties: Your Solution to a Confident, Contoured, and Fashionable Look in All Your Clothes!",women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71+Relh3cuL._AC_UL320_.jpg,https://www.amazon.in/BETSU-Breast-Lift-Nipple-Pasties/dp/B0BTZ2DY1C/ref=sr_1_15535?qid=1679155435&s=apparel&sr=1-15535,,,₹399,₹999
1536,"ZEBRONICS Zeb-Delight 10 Wireless Bluetooth v5.0 Portable Speaker with Supporting 5W RMS, RGB LED Lights, 52mm Driver, Upt...","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/81uvbbq8ogL._AC_UL320_.jpg,https://www.amazon.in/ZEBRONICS-Zeb-Delight-Wireless-Bluetooth-Supporting/dp/B09K458XNX/ref=sr_1_1540?qid=1679129390&s=electronics&sr=1-1540,4.0,264,₹798,"₹1,199"
544,"Empica Full Chrome Car Side Cladding Door Beading Protective Garnish Moulding Compatible with City Zx (Set of 4 Pcs, Silver)",car & motorbike,Car Parts,https://m.media-amazon.com/images/I/41h6HnEG8hL._AC_UL320_.jpg,https://www.amazon.in/Empica-Chrome-Beading-Cladding-Compatible/dp/B08X1JP8T9/ref=sr_1_4817?qid=1679222319&s=automotive&sr=1-4817,2.8,6,"₹1,499","₹3,499"
17130,KGF Running Shoes,men's shoes,Sports Shoes,https://m.media-amazon.com/images/I/613mbxuSQSL._AC_UL320_.jpg,https://www.amazon.in/KGF-Running-Shoes-Numeric_7-White/dp/B0B3T9QD92/ref=sr_1_17139?qid=1679147801&s=shoes&sr=1-17139,,,₹599,"₹1,300"
10660,Brado Jewellery Ethnic Traditional One Gram Gold Glorious Long Chain Black Beads 30 inch Long Mangalsutra/Tanmaniya/Nallap...,accessories,Fashion & Silver Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71xyo75yKPL._AC_UL320_.jpg,https://www.amazon.in/Brado-Jewellery-Traditional-Mangalsutra-Nallapusalu/dp/B09JNT3RZT/ref=sr_1_10713?qid=1679160313&s=jewelry&sr=1-10713,2.3,3,₹149,₹999
9404,TS Traderss Women's Soft Cotton Ankle Length Leggings Free Size for Waist 26-34,women's clothing,Western Wear,https://m.media-amazon.com/images/I/31JTLD4W5-L._AC_UL320_.jpg,https://www.amazon.in/Traderss-Womens-Cotton-Length-Leggings/dp/B091M717KD/ref=sr_1_9413?qid=1679153783&s=apparel&sr=1-9413,1.8,3,₹200,₹999
7948,RARE Women Casual Dress,women's clothing,Western Wear,https://m.media-amazon.com/images/I/61t4HcaTlDL._AC_UL320_.jpg,https://www.amazon.in/RARE-Womens-Crepe-Knee-Length-EP6261_Multi_XL/dp/B09NNPW8Z7/ref=sr_1_7957?qid=1679153731&s=apparel&sr=1-7957,2.8,8,₹748,"₹1,999"
1274,"Bang & Olufsen Beolit 20 Powerful Portable Wireless Bluetooth Speaker, Anthracite","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/51LIcgKw66S._AC_UL320_.jpg,https://www.amazon.in/Bang-Olufsen-Powerful-Bluetooth-Anthracite/dp/B091L4JGXC/ref=sr_1_1278?qid=1679129373&s=electronics&sr=1-1278,4.2,44,"₹45,000","₹52,000"
